date,state,hospitalized
20200709,AK,28
20200708,AK,30
20200707,AK,25
20200706,AK,19
20200705,AK,19
20200704,AK,23
20200703,AK,25
20200702,AK,18
20200701,AK,20
20200630,AK,18
20200629,AK,16
20200628,AK,12
20200627,AK,11
20200626,AK,12
20200625,AK,14
20200624,AK,16
20200623,AK,14
20200622,AK,13
20200621,AK,15
20200620,AK,16
20200619,AK,18
20200618,AK,18
20200617,AK,23
20200616,AK,22
20200615,AK,21
20200614,AK,11
20200613,AK,12
20200612,AK,15
20200611,AK,18
20200610,AK,22
20200609,AK,12
20200608,AK,7
20200607,AK,7
20200606,AK,7
20200605,AK,8
20200604,AK,13
20200603,AK,11
20200602,AK,10
20200601,AK,10
20200531,AK,14
20200530,AK,14
20200529,AK,14
20200528,AK,10
20200527,AK,14
20200526,AK,12
20200525,AK,10
20200524,AK,10
20200523,AK,10
20200522,AK,15
20200521,AK,19
20200520,AK,16
20200519,AK,16
20200518,AK,9
20200517,AK,13
20200516,AK,10
20200515,AK,8
20200514,AK,12
20200513,AK,12
20200512,AK,10
20200511,AK,7
20200510,AK,8
20200509,AK,8
20200508,AK,16
20200507,AK,12
20200506,AK,8
20200505,AK,13
20200504,AK,12
20200503,AK,12
20200502,AK,10
20200501,AK,25
20200430,AK,19
20200429,AK,14
20200428,AK,16
20200427,AK,10
20200426,AK,14
20200425,AK,32
20200424,AK,36
20200423,AK,42
20200422,AK,39
20200421,AK,42
20200420,AK,46
20200419,AK,37
20200418,AK,39
20200709,AL,1125
20200708,AL,1110
20200707,AL,1073
20200706,AL,1016
20200705,AL,885
20200704,AL,800
20200703,AL,812
20200702,AL,843
20200701,AL,797
20200630,AL,776
20200629,AL,715
20200628,AL,655
20200627,AL,655
20200626,AL,658
20200625,AL,693
20200624,AL,667
20200623,AL,680
20200622,AL,658
20200621,AL,593
20200620,AL,628
20200619,AL,674
20200618,AL,663
20200617,AL,677
20200616,AL,678
20200615,AL,546
20200614,AL,540
20200613,AL,622
20200612,AL,622
20200611,AL,647
20200610,AL,629
20200609,AL,600
20200709,AR,394
20200708,AR,358
20200707,AR,369
20200706,AR,337
20200705,AR,285
20200704,AR,285
20200703,AR,285
20200702,AR,272
20200701,AR,275
20200630,AR,290
20200629,AR,300
20200628,AR,278
20200627,AR,284
20200626,AR,284
20200625,AR,284
20200624,AR,267
20200623,AR,248
20200622,AR,237
20200621,AR,240
20200620,AR,224
20200619,AR,224
20200618,AR,226
20200617,AR,217
20200616,AR,214
20200615,AR,206
20200614,AR,204
20200613,AR,203
20200612,AR,203
20200611,AR,187
20200610,AR,181
20200609,AR,173
20200608,AR,171
20200607,AR,145
20200606,AR,154
20200605,AR,147
20200604,AR,138
20200603,AR,132
20200602,AR,121
20200601,AR,115
20200531,AR,115
20200530,AR,104
20200529,AR,104
20200528,AR,104
20200527,AR,108
20200526,AR,107
20200525,AR,92
20200524,AR,86
20200523,AR,81
20200522,AR,86
20200521,AR,78
20200520,AR,78
20200519,AR,78
20200518,AR,77
20200517,AR,65
20200516,AR,65
20200515,AR,65
20200514,AR,64
20200513,AR,59
20200512,AR,59
20200511,AR,61
20200510,AR,64
20200509,AR,64
20200508,AR,70
20200507,AR,69
20200506,AR,69
20200505,AR,89
20200504,AR,91
20200503,AR,100
20200502,AR,95
20200501,AR,95
20200430,AR,95
20200429,AR,93
20200428,AR,104
20200427,AR,109
20200426,AR,104
20200425,AR,104
20200424,AR,101
20200423,AR,101
20200422,AR,97
20200421,AR,86
20200420,AR,93
20200419,AR,88
20200418,AR,86
20200417,AR,83
20200416,AR,85
20200415,AR,83
20200414,AR,81
20200413,AR,74
20200412,AR,74
20200411,AR,86
20200410,AR,86
20200409,AR,73
20200408,AR,76
20200407,AR,74
20200406,AR,74
20200405,AR,67
20200404,AR,72
20200403,AR,71
20200402,AR,66
20200401,AR,56
20200331,AR,64
20200330,AR,62
20200329,AR,43
20200328,AR,48
20200327,AR,48
20200326,AR,41
20200325,AR,22
20200324,AR,22
20200323,AR,13
20200322,AR,13
20200709,AZ,3437
20200708,AZ,3421
20200707,AZ,3356
20200706,AZ,3212
20200705,AZ,3182
20200704,AZ,3113
20200703,AZ,3013
20200702,AZ,2938
20200701,AZ,2876
20200630,AZ,2793
20200629,AZ,2721
20200628,AZ,2691
20200627,AZ,2577
20200626,AZ,2110
20200625,AZ,2453
20200624,AZ,2270
20200623,AZ,2136
20200622,AZ,1992
20200621,AZ,1942
20200620,AZ,1938
20200619,AZ,1832
20200618,AZ,1667
20200617,AZ,1582
20200616,AZ,1506
20200615,AZ,1449
20200614,AZ,1457
20200613,AZ,1412
20200612,AZ,1336
20200611,AZ,1291
20200610,AZ,1274
20200609,AZ,1243
20200608,AZ,1266
20200607,AZ,1252
20200606,AZ,1278
20200605,AZ,1234
20200604,AZ,1079
20200603,AZ,1092
20200602,AZ,1009
20200601,AZ,968
20200531,AZ,973
20200530,AZ,975
20200529,AZ,931
20200528,AZ,945
20200527,AZ,911
20200526,AZ,818
20200525,AZ,833
20200524,AZ,804
20200523,AZ,784
20200522,AZ,796
20200521,AZ,812
20200520,AZ,810
20200519,AZ,792
20200518,AZ,820
20200517,AZ,796
20200516,AZ,791
20200515,AZ,808
20200514,AZ,781
20200513,AZ,755
20200512,AZ,765
20200511,AZ,717
20200510,AZ,713
20200509,AZ,739
20200508,AZ,730
20200507,AZ,766
20200506,AZ,754
20200505,AZ,728
20200504,AZ,703
20200503,AZ,732
20200502,AZ,718
20200501,AZ,709
20200430,AZ,755
20200429,AZ,756
20200428,AZ,737
20200427,AZ,647
20200426,AZ,671
20200425,AZ,697
20200424,AZ,639
20200423,AZ,699
20200422,AZ,664
20200421,AZ,637
20200420,AZ,637
20200419,AZ,631
20200418,AZ,566
20200417,AZ,566
20200416,AZ,578
20200415,AZ,590
20200414,AZ,580
20200413,AZ,525
20200709,CA,7821
20200708,CA,7705
20200707,CA,7499
20200706,CA,7278
20200705,CA,7149
20200704,CA,7092
20200703,CA,7024
20200702,CA,6812
20200701,CA,6612
20200630,CA,6466
20200629,CA,6179
20200628,CA,5956
20200627,CA,5790
20200626,CA,5639
20200625,CA,5522
20200624,CA,5399
20200623,CA,5065
20200622,CA,4804
20200621,CA,4679
20200620,CA,4582
20200619,CA,4587
20200618,CA,4584
20200617,CA,4522
20200616,CA,4462
20200615,CA,4323
20200614,CA,4247
20200613,CA,4411
20200612,CA,4480
20200611,CA,4534
20200610,CA,4719
20200609,CA,4583
20200608,CA,4506
20200607,CA,4525
20200606,CA,4526
20200605,CA,4625
20200604,CA,4455
20200603,CA,4458
20200602,CA,4393
20200601,CA,4258
20200531,CA,4331
20200530,CA,4215
20200529,CA,4414
20200528,CA,4529
20200527,CA,4544
20200526,CA,4404
20200525,CA,4306
20200524,CA,4300
20200523,CA,4342
20200522,CA,4762
20200521,CA,4735
20200520,CA,4681
20200519,CA,4363
20200518,CA,4391
20200517,CA,4291
20200516,CA,4424
20200515,CA,4519
20200514,CA,4655
20200513,CA,4545
20200512,CA,4544
20200511,CA,4549
20200510,CA,4555
20200509,CA,4538
20200508,CA,4514
20200507,CA,4560
20200506,CA,4681
20200505,CA,4622
20200504,CA,4616
20200503,CA,4734
20200502,CA,4722
20200501,CA,4706
20200430,CA,4981
20200429,CA,5011
20200428,CA,4983
20200427,CA,4878
20200426,CA,4928
20200425,CA,4847
20200424,CA,4880
20200423,CA,4929
20200422,CA,4984
20200421,CA,4886
20200420,CA,4674
20200419,CA,4731
20200418,CA,4936
20200417,CA,4892
20200416,CA,5031
20200415,CA,5163
20200414,CA,5163
20200413,CA,3015
20200412,CA,5234
20200411,CA,5236
20200410,CA,2897
20200409,CA,2825
20200408,CA,2714
20200407,CA,2611
20200406,CA,2509
20200405,CA,2398
20200404,CA,2300
20200403,CA,2188
20200402,CA,1922
20200401,CA,1855
20200331,CA,1617
20200330,CA,1432
20200329,CA,1034
20200328,CA,1034
20200327,CA,746
20200709,CO,335
20200708,CO,335
20200707,CO,327
20200706,CO,286
20200705,CO,283
20200704,CO,270
20200703,CO,270
20200702,CO,262
20200701,CO,237
20200630,CO,271
20200629,CO,234
20200628,CO,235
20200627,CO,226
20200626,CO,247
20200625,CO,247
20200624,CO,238
20200623,CO,249
20200622,CO,256
20200621,CO,255
20200620,CO,250
20200619,CO,270
20200618,CO,270
20200617,CO,290
20200616,CO,276
20200615,CO,276
20200614,CO,262
20200613,CO,274
20200612,CO,279
20200611,CO,277
20200610,CO,305
20200609,CO,304
20200608,CO,322
20200607,CO,299
20200606,CO,299
20200605,CO,319
20200604,CO,356
20200603,CO,388
20200602,CO,394
20200601,CO,414
20200531,CO,414
20200530,CO,421
20200529,CO,464
20200528,CO,464
20200527,CO,484
20200526,CO,507
20200525,CO,560
20200524,CO,538
20200523,CO,571
20200522,CO,620
20200521,CO,613
20200520,CO,626
20200519,CO,626
20200518,CO,650
20200517,CO,650
20200516,CO,671
20200515,CO,685
20200514,CO,685
20200513,CO,688
20200512,CO,738
20200511,CO,573
20200510,CO,790
20200509,CO,790
20200508,CO,821
20200507,CO,798
20200506,CO,792
20200505,CO,834
20200504,CO,883
20200503,CO,883
20200502,CO,931
20200501,CO,959
20200430,CO,966
20200429,CO,964
20200428,CO,994
20200427,CO,1007
20200426,CO,1046
20200425,CO,1084
20200424,CO,1084
20200423,CO,859
20200422,CO,851
20200421,CO,861
20200420,CO,874
20200419,CO,874
20200418,CO,843
20200417,CO,858
20200416,CO,859
20200415,CO,878
20200414,CO,888
20200413,CO,842
20200412,CO,822
20200411,CO,841
20200410,CO,842
20200409,CO,848
20200408,CO,833
20200407,CO,786
20200406,CO,786
20200405,CO,783
20200404,CO,777
20200403,CO,739
20200402,CO,698
20200401,CO,574
20200331,CO,503
20200330,CO,358
20200329,CO,332
20200328,CO,307
20200327,CO,278
20200326,CO,230
20200325,CO,152
20200324,CO,116
20200323,CO,74
20200322,CO,56
20200709,CT,90
20200708,CT,88
20200707,CT,83
20200706,CT,69
20200705,CT,95
20200704,CT,95
20200703,CT,95
20200702,CT,101
20200701,CT,100
20200630,CT,98
20200629,CT,99
20200628,CT,103
20200627,CT,106
20200626,CT,127
20200625,CT,122
20200624,CT,124
20200623,CT,138
20200622,CT,140
20200621,CT,149
20200620,CT,150
20200619,CT,172
20200618,CT,176
20200617,CT,186
20200616,CT,201
20200615,CT,203
20200614,CT,205
20200613,CT,233
20200612,CT,244
20200611,CT,246
20200610,CT,270
20200609,CT,293
20200608,CT,324
20200607,CT,333
20200606,CT,333
20200605,CT,350
20200604,CT,373
20200603,CT,406
20200602,CT,434
20200601,CT,454
20200531,CT,481
20200530,CT,533
20200529,CT,577
20200528,CT,648
20200527,CT,684
20200526,CT,694
20200525,CT,706
20200524,CT,701
20200523,CT,724
20200522,CT,740
20200521,CT,816
20200520,CT,887
20200519,CT,914
20200518,CT,920
20200517,CT,937
20200516,CT,994
20200515,CT,1033
20200514,CT,1103
20200513,CT,1158
20200512,CT,1189
20200511,CT,1212
20200510,CT,1242
20200509,CT,1301
20200508,CT,1327
20200507,CT,1385
20200506,CT,1445
20200505,CT,1500
20200504,CT,1488
20200503,CT,1551
20200502,CT,1592
20200501,CT,1592
20200430,CT,1650
20200429,CT,1691
20200428,CT,1732
20200427,CT,1758
20200426,CT,1766
20200425,CT,1810
20200424,CT,1877
20200423,CT,1947
20200422,CT,1972
20200421,CT,1949
20200420,CT,1919
20200419,CT,1938
20200418,CT,1946
20200417,CT,1946
20200416,CT,1926
20200415,CT,1908
20200414,CT,1779
20200413,CT,1760
20200412,CT,1654
20200411,CT,1593
20200410,CT,1562
20200409,CT,1464
20200408,CT,1308
20200407,CT,1308
20200406,CT,1221
20200405,CT,1142
20200404,CT,1033
20200403,CT,909
20200402,CT,827
20200401,CT,766
20200331,CT,608
20200330,CT,517
20200329,CT,404
20200328,CT,173
20200327,CT,173
20200326,CT,125
20200325,CT,113
20200324,CT,71
20200323,CT,54
20200322,CT,43
20200709,DC,92
20200708,DC,86
20200707,DC,90
20200706,DC,88
20200705,DC,87
20200704,DC,95
20200703,DC,110
20200702,DC,120
20200701,DC,119
20200630,DC,126
20200629,DC,121
20200628,DC,126
20200627,DC,136
20200626,DC,147
20200625,DC,157
20200624,DC,167
20200623,DC,171
20200622,DC,155
20200621,DC,168
20200620,DC,177
20200619,DC,184
20200618,DC,189
20200617,DC,197
20200616,DC,192
20200615,DC,191
20200614,DC,186
20200613,DC,197
20200612,DC,212
20200611,DC,238
20200610,DC,245
20200609,DC,255
20200608,DC,268
20200607,DC,285
20200606,DC,276
20200605,DC,273
20200604,DC,276
20200603,DC,285
20200602,DC,295
20200601,DC,302
20200531,DC,295
20200530,DC,317
20200529,DC,338
20200528,DC,343
20200527,DC,349
20200526,DC,353
20200525,DC,331
20200524,DC,324
20200523,DC,324
20200522,DC,342
20200521,DC,336
20200520,DC,336
20200519,DC,375
20200518,DC,374
20200517,DC,369
20200516,DC,382
20200515,DC,393
20200514,DC,397
20200513,DC,423
20200512,DC,416
20200511,DC,416
20200510,DC,447
20200509,DC,447
20200508,DC,447
20200507,DC,447
20200506,DC,447
20200505,DC,447
20200504,DC,447
20200427,DC,402
20200426,DC,402
20200425,DC,402
20200424,DC,402
20200423,DC,402
20200422,DC,402
20200421,DC,402
20200420,DC,402
20200419,DC,313
20200418,DC,313
20200417,DC,313
20200416,DC,313
20200415,DC,313
20200414,DC,295
20200413,DC,295
20200709,DE,63
20200708,DE,57
20200707,DE,56
20200706,DE,54
20200705,DE,53
20200704,DE,54
20200703,DE,57
20200702,DE,67
20200701,DE,68
20200630,DE,64
20200629,DE,72
20200628,DE,78
20200627,DE,83
20200626,DE,78
20200625,DE,93
20200624,DE,85
20200623,DE,91
20200622,DE,89
20200621,DE,79
20200620,DE,75
20200619,DE,75
20200618,DE,79
20200617,DE,83
20200616,DE,87
20200615,DE,88
20200614,DE,93
20200613,DE,93
20200612,DE,100
20200611,DE,109
20200610,DE,108
20200609,DE,108
20200608,DE,113
20200607,DE,103
20200606,DE,117
20200605,DE,128
20200604,DE,142
20200603,DE,153
20200602,DE,157
20200601,DE,159
20200531,DE,160
20200530,DE,174
20200529,DE,183
20200528,DE,192
20200527,DE,196
20200526,DE,201
20200525,DE,205
20200524,DE,211
20200523,DE,210
20200522,DE,221
20200521,DE,220
20200520,DE,220
20200519,DE,236
20200518,DE,240
20200517,DE,229
20200516,DE,250
20200515,DE,269
20200514,DE,273
20200513,DE,282
20200512,DE,276
20200511,DE,275
20200510,DE,285
20200509,DE,288
20200508,DE,289
20200507,DE,285
20200506,DE,299
20200505,DE,284
20200504,DE,281
20200503,DE,284
20200502,DE,300
20200501,DE,281
20200430,DE,296
20200429,DE,326
20200428,DE,337
20200427,DE,325
20200426,DE,317
20200425,DE,300
20200424,DE,277
20200423,DE,290
20200422,DE,269
20200421,DE,263
20200420,DE,256
20200419,DE,249
20200418,DE,224
20200417,DE,224
20200416,DE,209
20200415,DE,208
20200414,DE,204
20200413,DE,201
20200412,DE,190
20200411,DE,190
20200410,DE,181
20200409,DE,201
20200408,DE,147
20200407,DE,147
20200406,DE,101
20200405,DE,101
20200404,DE,95
20200403,DE,63
20200402,DE,56
20200401,DE,51
20200331,DE,57
20200330,DE,45
20200329,DE,33
20200328,DE,31
20200327,DE,15
20200326,DE,13
20200325,DE,11
20200520,FL,472
20200519,FL,472
20200518,FL,472
20200517,FL,472
20200516,FL,472
20200515,FL,472
20200514,FL,472
20200709,GA,2322
20200708,GA,2215
20200707,GA,2096
20200706,GA,1962
20200705,GA,1805
20200704,GA,1726
20200703,GA,1671
20200702,GA,1649
20200701,GA,1570
20200630,GA,1459
20200629,GA,1359
20200628,GA,1236
20200627,GA,1178
20200626,GA,1184
20200625,GA,1135
20200624,GA,1124
20200623,GA,1056
20200622,GA,1000
20200621,GA,944
20200620,GA,944
20200619,GA,937
20200618,GA,921
20200617,GA,881
20200616,GA,875
20200615,GA,865
20200614,GA,829
20200613,GA,810
20200612,GA,836
20200611,GA,842
20200610,GA,817
20200609,GA,834
20200608,GA,819
20200607,GA,783
20200606,GA,788
20200605,GA,790
20200604,GA,807
20200603,GA,815
20200602,GA,828
20200601,GA,841
20200531,GA,853
20200530,GA,850
20200529,GA,889
20200528,GA,903
20200527,GA,907
20200526,GA,854
20200525,GA,892
20200524,GA,848
20200523,GA,848
20200522,GA,889
20200521,GA,959
20200520,GA,959
20200519,GA,986
20200518,GA,1025
20200517,GA,1010
20200516,GA,1005
20200709,IA,168
20200708,IA,165
20200707,IA,165
20200706,IA,151
20200705,IA,141
20200704,IA,134
20200703,IA,146
20200702,IA,145
20200701,IA,149
20200630,IA,133
20200629,IA,119
20200628,IA,118
20200627,IA,131
20200626,IA,141
20200625,IA,137
20200624,IA,140
20200623,IA,163
20200622,IA,169
20200621,IA,170
20200620,IA,182
20200619,IA,197
20200618,IA,188
20200617,IA,188
20200616,IA,193
20200615,IA,197
20200614,IA,203
20200613,IA,200
20200612,IA,225
20200611,IA,242
20200610,IA,245
20200609,IA,255
20200608,IA,265
20200607,IA,269
20200606,IA,299
20200605,IA,299
20200604,IA,310
20200603,IA,314
20200602,IA,327
20200601,IA,339
20200531,IA,341
20200530,IA,368
20200529,IA,376
20200528,IA,383
20200527,IA,393
20200526,IA,379
20200525,IA,377
20200524,IA,363
20200523,IA,362
20200522,IA,362
20200521,IA,376
20200520,IA,381
20200519,IA,383
20200518,IA,382
20200517,IA,376
20200516,IA,387
20200515,IA,387
20200514,IA,405
20200513,IA,388
20200512,IA,385
20200511,IA,394
20200510,IA,413
20200509,IA,402
20200508,IA,407
20200507,IA,417
20200506,IA,414
20200505,IA,407
20200504,IA,389
20200503,IA,378
20200502,IA,353
20200501,IA,345
20200430,IA,335
20200429,IA,323
20200428,IA,304
20200427,IA,300
20200426,IA,286
20200425,IA,293
20200424,IA,278
20200423,IA,282
20200422,IA,272
20200421,IA,214
20200420,IA,214
20200419,IA,198
20200418,IA,193
20200417,IA,183
20200416,IA,175
20200415,IA,171
20200414,IA,163
20200413,IA,142
20200412,IA,129
20200411,IA,118
20200410,IA,125
20200409,IA,122
20200408,IA,122
20200407,IA,104
20200406,IA,99
20200405,IA,91
20200404,IA,85
20200403,IA,80
20200402,IA,74
20200401,IA,63
20200331,IA,61
20200330,IA,51
20200329,IA,51
20200328,IA,46
20200327,IA,32
20200326,IA,31
20200325,IA,23
20200709,ID,91
20200708,ID,50
20200707,ID,50
20200706,ID,75
20200705,ID,75
20200704,ID,75
20200703,ID,42
20200702,ID,42
20200701,ID,42
20200630,ID,42
20200629,ID,42
20200628,ID,42
20200627,ID,35
20200626,ID,44
20200625,ID,41
20200624,ID,31
20200623,ID,34
20200622,ID,36
20200621,ID,41
20200620,ID,33
20200619,ID,28
20200618,ID,23
20200617,ID,27
20200616,ID,23
20200615,ID,21
20200614,ID,25
20200613,ID,25
20200612,ID,18
20200611,ID,26
20200610,ID,20
20200609,ID,23
20200608,ID,29
20200607,ID,33
20200606,ID,24
20200605,ID,28
20200604,ID,27
20200603,ID,32
20200602,ID,35
20200601,ID,30
20200531,ID,34
20200530,ID,36
20200529,ID,34
20200528,ID,35
20200527,ID,29
20200526,ID,28
20200525,ID,17
20200524,ID,27
20200523,ID,26
20200522,ID,23
20200521,ID,28
20200520,ID,31
20200519,ID,28
20200518,ID,33
20200517,ID,32
20200516,ID,23
20200515,ID,29
20200514,ID,21
20200513,ID,21
20200512,ID,25
20200511,ID,31
20200510,ID,25
20200509,ID,19
20200508,ID,16
20200507,ID,22
20200506,ID,22
20200505,ID,45
20200504,ID,31
20200503,ID,27
20200502,ID,24
20200501,ID,32
20200430,ID,38
20200429,ID,41
20200428,ID,44
20200427,ID,41
20200426,ID,44
20200425,ID,41
20200424,ID,34
20200423,ID,56
20200422,ID,56
20200421,ID,71
20200420,ID,54
20200419,ID,44
20200418,ID,54
20200417,ID,59
20200416,ID,71
20200415,ID,67
20200414,ID,60
20200413,ID,62
20200412,ID,63
20200411,ID,61
20200410,ID,67
20200409,ID,70
20200408,ID,62
20200407,ID,67
